306.1666074 +16.7072902     51967.77      348.905 hatp23b.00000001.out.fits	00:39:55.572        	
306.1666452 +16.7073073     94190.53     301.9989 hatp23b.00000002.out.fits	00:41:00.354        	
306.1666636 +16.7073120     82457.27     310.8854 hatp23b.00000003.out.fits	00:42:05.136        	
306.1666211 +16.7073192     86308.84     306.8591 hatp23b.00000004.out.fits	00:43:09.918        	
306.1666191 +16.7073214     99396.53     292.1224 hatp23b.00000005.out.fits	00:44:14.699        	
306.1666305 +16.7073307     98715.79     294.0249 hatp23b.00000006.out.fits	00:45:19.496        	
306.1666930 +16.7073321     98052.09     295.6298 hatp23b.00000007.out.fits	00:46:24.262        	
306.1666972 +16.7073449     100626.6     301.9207 hatp23b.00000008.out.fits	00:47:29.075        	
306.1666927 +16.7073364     100676.7     290.1445 hatp23b.00000009.out.fits	00:48:33.873        	
306.1666904 +16.7073475     101013.8     291.0388 hatp23b.00000010.out.fits	00:49:38.655        	
306.1666991 +16.7073410     99984.54     291.2561 hatp23b.00000011.out.fits	00:50:43.436        	
306.1667021 +16.7073523     100464.3     290.5209 hatp23b.00000012.out.fits	00:51:48.202        	
306.1667031 +16.7073395     100109.2     289.9271 hatp23b.00000013.out.fits	00:52:53.001        	
306.1666836 +16.7073343     100317.9     290.0078 hatp23b.00000014.out.fits	00:53:57.783        	
306.1666967 +16.7073394     100124.3      289.864 hatp23b.00000015.out.fits	00:55:02.533        	
306.1666993 +16.7073472     100696.5     289.8198 hatp23b.00000016.out.fits	00:56:07.283        	
306.1667073 +16.7073410     99802.61     289.5126 hatp23b.00000017.out.fits	00:57:12.018        	
306.1667027 +16.7073412     100469.5     289.3371 hatp23b.00000018.out.fits	00:58:16.768        	
306.1666759 +16.7073506      98597.3     288.4337 hatp23b.00000019.out.fits	00:59:21.566        	
306.1666843 +16.7073396     100012.3     289.2879 hatp23b.00000020.out.fits	01:00:26.332        	
306.1667066 +16.7073425     101410.6     290.0894 hatp23b.00000021.out.fits	01:01:31.113        	
306.1667019 +16.7073369     101127.9     289.9288 hatp23b.00000022.out.fits	01:02:35.895        	
306.1666935 +16.7073350     101356.1     290.5846 hatp23b.00000023.out.fits	01:03:40.676        	
306.1666882 +16.7073453     100418.5     289.4147 hatp23b.00000024.out.fits	01:04:45.458        	
306.1666776 +16.7073460     101387.4     290.2507 hatp23b.00000025.out.fits	01:05:50.224        	
306.1667011 +16.7073476     99415.14     290.1805 hatp23b.00000026.out.fits	01:06:55.006        	
306.1667193 +16.7073472     96003.79     293.5724 hatp23b.00000027.out.fits	01:07:59.787        	
306.1666463 +16.7072832     95534.55     292.3141 hatp23b.00000028.out.fits	01:09:04.569        	
306.1666506 +16.7072850     91504.31      294.532 hatp23b.00000029.out.fits	01:10:09.350        	
306.1666232 +16.7073014     94768.48     298.6723 hatp23b.00000030.out.fits	01:11:14.148        	
306.1666441 +16.7072976       100030     290.9669 hatp23b.00000031.out.fits	01:12:18.929        	
306.1666578 +16.7072889     86324.54     296.1878 hatp23b.00000032.out.fits	01:13:23.711        	
306.1666439 +16.7072926     90608.05     292.4543 hatp23b.00000033.out.fits	01:14:28.493        	
306.1666249 +16.7072870     86202.27      298.458 hatp23b.00000034.out.fits	01:15:33.259        	
306.1666586 +16.7072867     101380.2     293.1028 hatp23b.00000035.out.fits	01:16:38.025        	
306.1666404 +16.7072862     100798.4     288.7619 hatp23b.00000036.out.fits	01:17:42.791        	
306.1666421 +16.7072904     100951.7      289.741 hatp23b.00000037.out.fits	01:18:47.573        	
306.1666244 +16.7072933     100348.4      290.177 hatp23b.00000038.out.fits	01:19:52.339        	
306.1666414 +16.7072864       100133     288.9664 hatp23b.00000039.out.fits	01:20:57.120        	
306.1666527 +16.7072772     100988.6     289.6617 hatp23b.00000040.out.fits	01:22:01.902        	
306.1666349 +16.7072855     99041.31     286.8543 hatp23b.00000041.out.fits	01:23:06.699        	
306.1666062 +16.7072725       100469     287.2089 hatp23b.00000042.out.fits	01:24:11.496        	
306.1666224 +16.7072740     100662.2     282.5769 hatp23b.00000043.out.fits	01:25:16.262        	
306.1666049 +16.7072813     100527.7     282.0381 hatp23b.00000044.out.fits	01:26:21.028        	
306.1666435 +16.7072880     101151.8     282.2841 hatp23b.00000045.out.fits	01:27:25.826        	
306.1666315 +16.7072890     100427.4     281.2466 hatp23b.00000046.out.fits	01:28:30.592        	
306.1666020 +16.7072917       100478     280.7261 hatp23b.00000047.out.fits	01:29:35.358        	
306.1666187 +16.7072839     100469.7     283.2725 hatp23b.00000048.out.fits	01:30:40.154        	
306.1666481 +16.7072931     92236.93     286.7707 hatp23b.00000049.out.fits	01:31:44.921        	
306.1666167 +16.7072845     100465.6     281.5216 hatp23b.00000050.out.fits	01:32:49.706        	
306.1666336 +16.7073043     101878.5     282.6649 hatp23b.00000051.out.fits	01:33:54.503        	
306.1666299 +16.7073043     101104.1     285.4579 hatp23b.00000052.out.fits	01:34:59.293        	
306.1666157 +16.7073138     100461.4     282.5677 hatp23b.00000053.out.fits	01:36:04.090        	
306.1666305 +16.7072968     100798.5     282.7954 hatp23b.00000054.out.fits	01:37:08.872        	
306.1666184 +16.7073125       100151     281.1733 hatp23b.00000055.out.fits	01:38:13.639        	
306.1666338 +16.7073120     101005.8     281.6813 hatp23b.00000056.out.fits	01:39:18.467        	
306.1666432 +16.7073121     100907.1     281.6568 hatp23b.00000057.out.fits	01:40:23.233        	
306.1666317 +16.7073085     100760.8     282.3383 hatp23b.00000058.out.fits	01:41:28.030        	
306.1666395 +16.7073146     100649.5     281.5764 hatp23b.00000059.out.fits	01:42:32.812        	
306.1667034 +16.7073344     100864.4     281.7669 hatp23b.00000060.out.fits	01:43:37.595        	
306.1666287 +16.7073063     100586.2     282.1171 hatp23b.00000061.out.fits	01:44:42.376        	
306.1666284 +16.7073072     101807.5     283.0713 hatp23b.00000062.out.fits	01:45:47.158        	
306.1666824 +16.7073402     101762.5     282.9038 hatp23b.00000063.out.fits	01:46:52.003        	
306.1666890 +16.7073361     101575.3       282.83 hatp23b.00000064.out.fits	01:47:56.769        	
306.1666843 +16.7073424     101503.7     282.3253 hatp23b.00000065.out.fits	01:49:01.535        	
306.1666705 +16.7073354     101910.3      283.484 hatp23b.00000066.out.fits	01:50:06.317        	
306.1666741 +16.7073335     102845.7     283.7577 hatp23b.00000067.out.fits	01:51:11.098        	
306.1666793 +16.7073343     102479.5     283.5792 hatp23b.00000068.out.fits	01:52:15.880        	
306.1666799 +16.7073319     102035.8     283.2863 hatp23b.00000069.out.fits	01:53:20.662        	
306.1666130 +16.7073057     102249.3     283.3404 hatp23b.00000070.out.fits	01:54:25.445        	
306.1666234 +16.7072991     102482.8     283.9316 hatp23b.00000071.out.fits	01:55:30.226        	
306.1666212 +16.7073136     102174.4     283.3811 hatp23b.00000072.out.fits	01:56:34.992        	
306.1666280 +16.7073102     102188.6     283.7839 hatp23b.00000073.out.fits	01:57:39.758        	
306.1666096 +16.7073007     102366.6     283.7561 hatp23b.00000074.out.fits	01:58:44.588        	
306.1666759 +16.7073383     102140.9     283.9253 hatp23b.00000075.out.fits	01:59:49.385        	
306.1666274 +16.7073024     101836.4      283.506 hatp23b.00000076.out.fits	02:00:54.167        	
306.1666143 +16.7073007     101127.7     283.1602 hatp23b.00000077.out.fits	02:01:58.932        	
