306.1520304 +16.7849426     25089.09     329.7892 hatp23b.00000001.out.fits	00:39:55.572        	
306.1520806 +16.7849641     45424.47     259.9334 hatp23b.00000002.out.fits	00:41:00.354        	
306.1520655 +16.7849568     40070.62     275.1036 hatp23b.00000003.out.fits	00:42:05.136        	
306.1520309 +16.7849913     42557.22     270.0442 hatp23b.00000004.out.fits	00:43:09.918        	
306.1520251 +16.7849882     48371.71     246.5089 hatp23b.00000005.out.fits	00:44:14.699        	
306.1520443 +16.7849985      48510.4     248.9193 hatp23b.00000006.out.fits	00:45:19.496        	
306.1521126 +16.7850032      47766.2     250.9708 hatp23b.00000007.out.fits	00:46:24.262        	
306.1521349 +16.7850012     48987.93     256.6346 hatp23b.00000008.out.fits	00:47:29.075        	
306.1521201 +16.7850054     49572.47     243.7834 hatp23b.00000009.out.fits	00:48:33.873        	
306.1521324 +16.7849940     49106.82     243.8823 hatp23b.00000010.out.fits	00:49:38.655        	
306.1521227 +16.7850129     48792.69     244.8505 hatp23b.00000011.out.fits	00:50:43.436        	
306.1521206 +16.7850138     48682.19       243.22 hatp23b.00000012.out.fits	00:51:48.202        	
306.1521245 +16.7850032     49288.89     243.6399 hatp23b.00000013.out.fits	00:52:53.001        	
306.1521129 +16.7849902     48984.62     243.3924 hatp23b.00000014.out.fits	00:53:57.783        	
306.1521228 +16.7850098     48916.42     243.2344 hatp23b.00000015.out.fits	00:55:02.533        	
306.1521472 +16.7849933     49157.36     242.9064 hatp23b.00000016.out.fits	00:56:07.283        	
306.1521255 +16.7850140     49072.45     243.2366 hatp23b.00000017.out.fits	00:57:12.018        	
306.1521356 +16.7850008     49538.84     243.4956 hatp23b.00000018.out.fits	00:58:16.768        	
306.1521155 +16.7849907     48600.25     242.8538 hatp23b.00000019.out.fits	00:59:21.566        	
306.1521354 +16.7849989     49293.94     243.0925 hatp23b.00000020.out.fits	01:00:26.332        	
306.1521266 +16.7850043     50041.14       242.79 hatp23b.00000021.out.fits	01:01:31.113        	
306.1521412 +16.7849834     50089.32     243.5906 hatp23b.00000022.out.fits	01:02:35.895        	
306.1521234 +16.7849920     49671.08     243.2298 hatp23b.00000023.out.fits	01:03:40.676        	
306.1521113 +16.7850091     49315.14     242.5259 hatp23b.00000024.out.fits	01:04:45.458        	
306.1521007 +16.7850071     49867.43     243.4946 hatp23b.00000025.out.fits	01:05:50.224        	
306.1521293 +16.7849975     49114.59     244.3447 hatp23b.00000026.out.fits	01:06:55.006        	
306.1521238 +16.7850048     47082.59     249.4463 hatp23b.00000027.out.fits	01:07:59.787        	
306.1520659 +16.7849586     47038.86     248.7486 hatp23b.00000028.out.fits	01:09:04.569        	
306.1520766 +16.7849552      45359.8     254.7027 hatp23b.00000029.out.fits	01:10:09.350        	
306.1520579 +16.7849573     46861.51     257.0007 hatp23b.00000030.out.fits	01:11:14.148        	
306.1520826 +16.7849327      50083.8     246.1927 hatp23b.00000031.out.fits	01:12:18.929        	
306.1520712 +16.7849597     42126.59     257.2961 hatp23b.00000032.out.fits	01:13:23.711        	
306.1520922 +16.7849459     45472.54     252.2283 hatp23b.00000033.out.fits	01:14:28.493        	
306.1520712 +16.7849495     43127.64     261.0189 hatp23b.00000034.out.fits	01:15:33.259        	
306.1520770 +16.7849500     49764.25       246.57 hatp23b.00000035.out.fits	01:16:38.025        	
306.1520745 +16.7849392     50083.84     243.0191 hatp23b.00000036.out.fits	01:17:42.791        	
306.1520951 +16.7849482     49605.08     243.1149 hatp23b.00000037.out.fits	01:18:47.573        	
306.1520719 +16.7849649     49525.94      244.103 hatp23b.00000038.out.fits	01:19:52.339        	
306.1520749 +16.7849558     49297.64     242.8148 hatp23b.00000039.out.fits	01:20:57.120        	
306.1520841 +16.7849575     50048.54     243.2055 hatp23b.00000040.out.fits	01:22:01.902        	
306.1520709 +16.7849607     49235.95     241.1106 hatp23b.00000041.out.fits	01:23:06.699        	
306.1520615 +16.7849496     49758.54     239.9732 hatp23b.00000042.out.fits	01:24:11.496        	
306.1520721 +16.7849274      50106.1     235.7874 hatp23b.00000043.out.fits	01:25:16.262        	
306.1520688 +16.7849403     50092.11     234.8549 hatp23b.00000044.out.fits	01:26:21.028        	
306.1520867 +16.7849510     50184.02     234.3986 hatp23b.00000045.out.fits	01:27:25.826        	
306.1520856 +16.7849512     50223.69      233.443 hatp23b.00000046.out.fits	01:28:30.592        	
306.1520678 +16.7849455     49976.21     232.6089 hatp23b.00000047.out.fits	01:29:35.358        	
306.1520665 +16.7849476     49646.29     235.6852 hatp23b.00000048.out.fits	01:30:40.154        	
306.1520517 +16.7849622     46137.39     244.3669 hatp23b.00000049.out.fits	01:31:44.921        	
306.1520441 +16.7849505     49425.77      233.455 hatp23b.00000050.out.fits	01:32:49.706        	
306.1520608 +16.7849620     49860.81     233.6691 hatp23b.00000051.out.fits	01:33:54.503        	
306.1520490 +16.7849623     49125.23     237.2312 hatp23b.00000052.out.fits	01:34:59.293        	
306.1520464 +16.7849768     49249.88      234.437 hatp23b.00000053.out.fits	01:36:04.090        	
306.1520477 +16.7849696      49805.7     234.7857 hatp23b.00000054.out.fits	01:37:08.872        	
306.1520448 +16.7849568     49817.47       233.92 hatp23b.00000055.out.fits	01:38:13.639        	
306.1520441 +16.7849705     49781.59     233.5057 hatp23b.00000056.out.fits	01:39:18.467        	
306.1520588 +16.7849698     50049.48     233.8569 hatp23b.00000057.out.fits	01:40:23.233        	
306.1520534 +16.7849607     49996.76     234.7755 hatp23b.00000058.out.fits	01:41:28.030        	
306.1520665 +16.7849658     49784.61     233.8032 hatp23b.00000059.out.fits	01:42:32.812        	
306.1521334 +16.7849939     50039.53     234.1246 hatp23b.00000060.out.fits	01:43:37.595        	
306.1520524 +16.7849706     49023.93     233.6817 hatp23b.00000061.out.fits	01:44:42.376        	
306.1520673 +16.7849617     49683.34     234.4526 hatp23b.00000062.out.fits	01:45:47.158        	
306.1521133 +16.7850024     49803.15     233.9177 hatp23b.00000063.out.fits	01:46:52.003        	
306.1521313 +16.7849980     49496.21     233.8549 hatp23b.00000064.out.fits	01:47:56.769        	
306.1521208 +16.7849901     49318.19     233.7898 hatp23b.00000065.out.fits	01:49:01.535        	
306.1521041 +16.7850013     49512.37     234.3152 hatp23b.00000066.out.fits	01:50:06.317        	
306.1521125 +16.7849922     49971.52     234.2538 hatp23b.00000067.out.fits	01:51:11.098        	
306.1521106 +16.7849893     49918.18     233.8588 hatp23b.00000068.out.fits	01:52:15.880        	
306.1521119 +16.7849919     49550.05     233.8335 hatp23b.00000069.out.fits	01:53:20.662        	
306.1520407 +16.7849624     49970.77     234.5678 hatp23b.00000070.out.fits	01:54:25.445        	
306.1520432 +16.7849604      49999.3      234.667 hatp23b.00000071.out.fits	01:55:30.226        	
306.1520340 +16.7849719     49711.57     234.3758 hatp23b.00000072.out.fits	01:56:34.992        	
306.1520443 +16.7849687     50164.74     235.2667 hatp23b.00000073.out.fits	01:57:39.758        	
306.1520387 +16.7849610     50454.82     235.2978 hatp23b.00000074.out.fits	01:58:44.588        	
306.1521135 +16.7850049     50644.64     235.3756 hatp23b.00000075.out.fits	01:59:49.385        	
306.1520540 +16.7849555     50555.12     235.5964 hatp23b.00000076.out.fits	02:00:54.167        	
306.1520564 +16.7849662     49688.75     235.1195 hatp23b.00000077.out.fits	02:01:58.932        	
306.1520632 +16.7849670     50230.27     235.3253 hatp23b.00000078.out.fits	02:03:03.699        	
306.1520492 +16.7849597     49719.55     235.1281 hatp23b.00000079.out.fits	02:04:08.465        	
306.1521139 +16.7850000     50316.41     235.6241 hatp23b.00000080.out.fits	02:05:13.232        	
306.1521116 +16.7849923     49927.77     235.4667 hatp23b.00000081.out.fits	02:06:18.029        	
306.1520678 +16.7849600     49936.22     235.5232 hatp23b.00000082.out.fits	02:07:22.826        	
306.1520563 +16.7849678     49588.26     235.4136 hatp23b.00000083.out.fits	02:08:27.608        	
306.1520548 +16.7849607     50042.36     235.3994 hatp23b.00000084.out.fits	02:09:32.406        	
306.1520363 +16.7849769     49761.47     234.9955 hatp23b.00000085.out.fits	02:10:37.187        	
306.1520370 +16.7849594     50281.91      235.257 hatp23b.00000086.out.fits	02:11:41.969        	
306.1520624 +16.7849578      49525.6     234.7925 hatp23b.00000087.out.fits	02:12:46.782        	
306.1520573 +16.7849701     50288.45     235.8899 hatp23b.00000088.out.fits	02:13:51.642        	
306.1520416 +16.7849666      50141.6     235.9665 hatp23b.00000089.out.fits	02:14:56.439        	
306.1520451 +16.7849544     50194.65     236.1145 hatp23b.00000090.out.fits	02:16:01.221        	
306.1520624 +16.7849670     50314.62     237.0154 hatp23b.00000091.out.fits	02:17:06.003        	
306.1520401 +16.7849688     49633.98     235.5579 hatp23b.00000092.out.fits	02:18:10.800        	
306.1520379 +16.7849661     49655.43     235.5488 hatp23b.00000093.out.fits	02:19:15.566        	
306.1520695 +16.7849648     49872.76     235.9267 hatp23b.00000094.out.fits	02:20:20.331        	
306.1520311 +16.7849422     49900.68     235.5675 hatp23b.00000095.out.fits	02:21:25.129        	
306.1520447 +16.7849695     49992.73     236.1099 hatp23b.00000096.out.fits	02:22:29.911        	
306.1520525 +16.7849547      49904.1     236.1271 hatp23b.00000097.out.fits	02:23:34.724        	
306.1520529 +16.7849665     49727.03      235.649 hatp23b.00000098.out.fits	02:24:39.505        	
306.1520567 +16.7849650     49713.57     235.9324 hatp23b.00000099.out.fits	02:25:44.287        	
306.1520680 +16.7849713     49909.96     235.4259 hatp23b.00000100.out.fits	02:26:49.069        	
306.1520446 +16.7849623     49180.48     235.2634 hatp23b.00000101.out.fits	02:27:53.850        	
306.1520546 +16.7849690     49351.55     235.2348 hatp23b.00000102.out.fits	02:28:58.616        	
306.1520522 +16.7849445     49528.43     235.7964 hatp23b.00000103.out.fits	02:30:03.398        	
306.1520726 +16.7849596     49120.66     282.2892 hatp23b.00000105.out.fits	02:44:03.595        	
