306.1064114 +16.7437909     29370.99     332.3686 hatp23b.00000001.out.fits	00:39:55.572        	
306.1064459 +16.7437870     52727.41     266.6656 hatp23b.00000002.out.fits	00:41:00.354        	
306.1064333 +16.7438050     46815.68      281.765 hatp23b.00000003.out.fits	00:42:05.136        	
306.1064088 +16.7438220     48300.14     275.3763 hatp23b.00000004.out.fits	00:43:09.918        	
306.1064186 +16.7438189     55565.49     253.3802 hatp23b.00000005.out.fits	00:44:14.699        	
306.1064033 +16.7438263     55194.48     255.7009 hatp23b.00000006.out.fits	00:45:19.496        	
306.1064645 +16.7438362      55025.1     257.8361 hatp23b.00000007.out.fits	00:46:24.262        	
306.1064904 +16.7438306     55690.43     263.3912 hatp23b.00000008.out.fits	00:47:29.075        	
306.1064813 +16.7438255     56689.15     250.7147 hatp23b.00000009.out.fits	00:48:33.873        	
306.1064861 +16.7438326      55928.2     250.3603 hatp23b.00000010.out.fits	00:49:38.655        	
306.1064859 +16.7438505     55938.29     251.8897 hatp23b.00000011.out.fits	00:50:43.436        	
306.1064843 +16.7438426        56117      250.748 hatp23b.00000012.out.fits	00:51:48.202        	
306.1064789 +16.7438274      56498.9     250.8284 hatp23b.00000013.out.fits	00:52:53.001        	
306.1064747 +16.7438220     56107.94     250.1236 hatp23b.00000014.out.fits	00:53:57.783        	
306.1064814 +16.7438352     56262.35     250.6746 hatp23b.00000015.out.fits	00:55:02.533        	
306.1064762 +16.7438282     56530.35     250.3271 hatp23b.00000016.out.fits	00:56:07.283        	
306.1064916 +16.7438529      56028.7     249.9729 hatp23b.00000017.out.fits	00:57:12.018        	
306.1064741 +16.7438322      56731.8      250.509 hatp23b.00000018.out.fits	00:58:16.768        	
306.1064892 +16.7438313     55979.59     250.0116 hatp23b.00000019.out.fits	00:59:21.566        	
306.1064760 +16.7438379     56655.52     250.3348 hatp23b.00000020.out.fits	01:00:26.332        	
306.1064935 +16.7438218     56943.11     250.2921 hatp23b.00000021.out.fits	01:01:31.113        	
306.1064939 +16.7438166     57174.09     250.4435 hatp23b.00000022.out.fits	01:02:35.895        	
306.1064750 +16.7438253     57097.88     250.6391 hatp23b.00000023.out.fits	01:03:40.676        	
306.1064569 +16.7438309     56278.08     249.6667 hatp23b.00000024.out.fits	01:04:45.458        	
306.1064606 +16.7438268     56774.11     250.2845 hatp23b.00000025.out.fits	01:05:50.224        	
306.1064899 +16.7438334     56410.38     251.4875 hatp23b.00000026.out.fits	01:06:55.006        	
306.1065063 +16.7438256     54213.98     256.8255 hatp23b.00000027.out.fits	01:07:59.787        	
306.1064456 +16.7437909     53627.24     255.0373 hatp23b.00000028.out.fits	01:09:04.569        	
306.1064542 +16.7437975     52049.44     260.8112 hatp23b.00000029.out.fits	01:10:09.350        	
306.1064208 +16.7437814     53189.65      262.719 hatp23b.00000030.out.fits	01:11:14.148        	
306.1064615 +16.7437845     56608.59     252.3781 hatp23b.00000031.out.fits	01:12:18.929        	
306.1064631 +16.7437853     48392.24     263.5425 hatp23b.00000032.out.fits	01:13:23.711        	
306.1064559 +16.7437994     51739.55     258.1886 hatp23b.00000033.out.fits	01:14:28.493        	
306.1064371 +16.7437953     48979.14     266.1317 hatp23b.00000034.out.fits	01:15:33.259        	
306.1064343 +16.7437935     57490.25     254.0061 hatp23b.00000035.out.fits	01:16:38.025        	
306.1064579 +16.7437759     57036.35      249.332 hatp23b.00000036.out.fits	01:17:42.791        	
306.1064623 +16.7437971     56636.75     249.8754 hatp23b.00000037.out.fits	01:18:47.573        	
306.1064407 +16.7437897     56525.96     251.0212 hatp23b.00000038.out.fits	01:19:52.339        	
306.1064477 +16.7437961     56566.25     250.0828 hatp23b.00000039.out.fits	01:20:57.120        	
306.1064468 +16.7438038     56920.47      249.916 hatp23b.00000040.out.fits	01:22:01.902        	
306.1064251 +16.7437943     55843.26     247.6196 hatp23b.00000041.out.fits	01:23:06.699        	
306.1064298 +16.7437949     56293.19      247.124 hatp23b.00000042.out.fits	01:24:11.496        	
306.1064497 +16.7437716     57245.21     242.9266 hatp23b.00000043.out.fits	01:25:16.262        	
306.1064320 +16.7437890     56943.53     241.7831 hatp23b.00000044.out.fits	01:26:21.028        	
306.1064630 +16.7438051     57065.73     241.4194 hatp23b.00000045.out.fits	01:27:25.826        	
306.1064349 +16.7437917      57141.5     241.1094 hatp23b.00000046.out.fits	01:28:30.592        	
306.1064491 +16.7437857     56776.41     240.2255 hatp23b.00000047.out.fits	01:29:35.358        	
306.1064398 +16.7437868     56985.72     243.0268 hatp23b.00000048.out.fits	01:30:40.154        	
306.1064401 +16.7437916     52537.29     250.9298 hatp23b.00000049.out.fits	01:31:44.921        	
306.1064106 +16.7438027      56556.3     240.8518 hatp23b.00000050.out.fits	01:32:49.706        	
306.1064348 +16.7438185     57143.44     241.3582 hatp23b.00000051.out.fits	01:33:54.503        	
306.1064242 +16.7437943     56564.88     244.8264 hatp23b.00000052.out.fits	01:34:59.293        	
306.1064198 +16.7438130     56535.91     241.8135 hatp23b.00000053.out.fits	01:36:04.090        	
306.1064187 +16.7437983     56869.83     242.0275 hatp23b.00000054.out.fits	01:37:08.872        	
306.1064179 +16.7437975     56992.73     241.2503 hatp23b.00000055.out.fits	01:38:13.639        	
306.1064178 +16.7438097     56988.94     240.9778 hatp23b.00000056.out.fits	01:39:18.467        	
