306.1177970 +16.7007637     39559.93     339.7278 hatp23b.00000001.out.fits	00:39:55.572        	
306.1178439 +16.7007818     71346.77     283.0444 hatp23b.00000002.out.fits	00:41:00.354        	
306.1178528 +16.7007994     63167.51     295.5889 hatp23b.00000003.out.fits	00:42:05.136        	
306.1177988 +16.7008108     66114.87     290.1707 hatp23b.00000004.out.fits	00:43:09.918        	
306.1178056 +16.7008122     75693.02     272.1887 hatp23b.00000005.out.fits	00:44:14.699        	
306.1178104 +16.7008262     75201.91     273.9273 hatp23b.00000006.out.fits	00:45:19.496        	
306.1178635 +16.7008223     74669.77     275.9315 hatp23b.00000007.out.fits	00:46:24.262        	
306.1178747 +16.7008375     75327.18     280.6152 hatp23b.00000008.out.fits	00:47:29.075        	
306.1178848 +16.7008247     76625.86     268.9713 hatp23b.00000009.out.fits	00:48:33.873        	
306.1178811 +16.7008359     76481.07     269.6012 hatp23b.00000010.out.fits	00:49:38.655        	
306.1178835 +16.7008238     76052.59     270.6299 hatp23b.00000011.out.fits	00:50:43.436        	
306.1178755 +16.7008394     76737.91      269.921 hatp23b.00000012.out.fits	00:51:48.202        	
306.1178662 +16.7008274      77056.3     269.8379 hatp23b.00000013.out.fits	00:52:53.001        	
306.1178739 +16.7008292     76508.93     268.7892 hatp23b.00000014.out.fits	00:53:57.783        	
306.1178837 +16.7008336     76472.48     269.2814 hatp23b.00000015.out.fits	00:55:02.533        	
306.1178851 +16.7008177     76746.92     268.8651 hatp23b.00000016.out.fits	00:56:07.283        	
306.1178854 +16.7008281      76595.8      269.456 hatp23b.00000017.out.fits	00:57:12.018        	
306.1178715 +16.7008236      76994.8     269.4777 hatp23b.00000018.out.fits	00:58:16.768        	
306.1178807 +16.7008153     75475.16     268.3223 hatp23b.00000019.out.fits	00:59:21.566        	
306.1178637 +16.7008319     76752.88     269.1162 hatp23b.00000020.out.fits	01:00:26.332        	
306.1178785 +16.7008250     77593.21      268.977 hatp23b.00000021.out.fits	01:01:31.113        	
306.1178917 +16.7008150     77709.45      269.562 hatp23b.00000022.out.fits	01:02:35.895        	
306.1178757 +16.7008197      77756.8     269.9547 hatp23b.00000023.out.fits	01:03:40.676        	
306.1178632 +16.7008172      77032.7     268.9883 hatp23b.00000024.out.fits	01:04:45.458        	
306.1178562 +16.7008324     77081.63     269.3589 hatp23b.00000025.out.fits	01:05:50.224        	
306.1178909 +16.7008191     76496.09     270.3823 hatp23b.00000026.out.fits	01:06:55.006        	
306.1178857 +16.7008174     73803.11     274.4383 hatp23b.00000027.out.fits	01:07:59.787        	
306.1178317 +16.7007813      72995.4     273.1235 hatp23b.00000028.out.fits	01:09:04.569        	
306.1178500 +16.7007810      70542.5       277.37 hatp23b.00000029.out.fits	01:10:09.350        	
306.1178057 +16.7007816     73138.92     281.0196 hatp23b.00000030.out.fits	01:11:14.148        	
306.1178436 +16.7007734     77369.91     271.2017 hatp23b.00000031.out.fits	01:12:18.929        	
306.1178479 +16.7007808     65730.77     279.0545 hatp23b.00000032.out.fits	01:13:23.711        	
306.1178473 +16.7007756     70299.29     275.0835 hatp23b.00000033.out.fits	01:14:28.493        	
306.1178218 +16.7007820     66684.16     282.2033 hatp23b.00000034.out.fits	01:15:33.259        	
306.1178491 +16.7007805     77589.06     272.4843 hatp23b.00000035.out.fits	01:16:38.025        	
306.1178487 +16.7007786     77821.25     269.2019 hatp23b.00000036.out.fits	01:17:42.791        	
306.1178400 +16.7007715     77382.73     269.3241 hatp23b.00000037.out.fits	01:18:47.573        	
306.1178263 +16.7007804     76831.81     270.0435 hatp23b.00000038.out.fits	01:19:52.339        	
306.1178395 +16.7007724     76966.14     268.7036 hatp23b.00000039.out.fits	01:20:57.120        	
306.1178547 +16.7007731     77490.11     269.2027 hatp23b.00000040.out.fits	01:22:01.902        	
306.1178262 +16.7007700     76689.34      267.224 hatp23b.00000041.out.fits	01:23:06.699        	
306.1178198 +16.7007709     77011.02     266.6488 hatp23b.00000042.out.fits	01:24:11.496        	
306.1178243 +16.7007718      77918.4     262.7259 hatp23b.00000043.out.fits	01:25:16.262        	
306.1178173 +16.7007845     78111.51     262.0379 hatp23b.00000044.out.fits	01:26:21.028        	
306.1178349 +16.7007869     78577.21     262.2009 hatp23b.00000045.out.fits	01:27:25.826        	
