306.0439028 +16.6929899     29585.85      331.856 hatp23b.00000001.out.fits	00:39:55.572        	
306.0439313 +16.6930205     52406.41     266.1108 hatp23b.00000002.out.fits	00:41:00.354        	
306.0439268 +16.6930490     46494.21     281.6425 hatp23b.00000003.out.fits	00:42:05.136        	
306.0438965 +16.6930348     48672.07     275.7039 hatp23b.00000004.out.fits	00:43:09.918        	
306.0438928 +16.6930306     55835.41     253.6386 hatp23b.00000005.out.fits	00:44:14.699        	
306.0439096 +16.6930455     55332.34     255.4269 hatp23b.00000006.out.fits	00:45:19.496        	
306.0439538 +16.6930492     55065.96     257.7558 hatp23b.00000007.out.fits	00:46:24.262        	
306.0439633 +16.6930603     55663.08     263.1191 hatp23b.00000008.out.fits	00:47:29.075        	
306.0439552 +16.6930672      56200.6     250.2956 hatp23b.00000009.out.fits	00:48:33.873        	
306.0439519 +16.6930629     56331.42     251.1878 hatp23b.00000010.out.fits	00:49:38.655        	
306.0439411 +16.6930719     55523.78     251.6009 hatp23b.00000011.out.fits	00:50:43.436        	
306.0439562 +16.6930587     56272.35     251.0074 hatp23b.00000012.out.fits	00:51:48.202        	
306.0439585 +16.6930536     56590.72     250.8629 hatp23b.00000013.out.fits	00:52:53.001        	
306.0439426 +16.6930497     55878.67     249.6288 hatp23b.00000014.out.fits	00:53:57.783        	
306.0439579 +16.6930807     55813.86     250.0225 hatp23b.00000015.out.fits	00:55:02.533        	
306.0439564 +16.6930510     56385.33      249.592 hatp23b.00000016.out.fits	00:56:07.283        	
306.0439654 +16.6930632     55644.01      249.817 hatp23b.00000017.out.fits	00:57:12.018        	
306.0439339 +16.6930470     56444.91     250.5552 hatp23b.00000018.out.fits	00:58:16.768        	
306.0439680 +16.6930460     55527.59     249.6813 hatp23b.00000019.out.fits	00:59:21.566        	
306.0439627 +16.6930631     56106.54     249.8561 hatp23b.00000020.out.fits	01:00:26.332        	
306.0439491 +16.6930481     56862.38     249.5161 hatp23b.00000021.out.fits	01:01:31.113        	
306.0439618 +16.6930416     56592.55     249.8255 hatp23b.00000022.out.fits	01:02:35.895        	
306.0439447 +16.6930520     56569.12     250.1804 hatp23b.00000023.out.fits	01:03:40.676        	
306.0439381 +16.6930573     56039.91     249.2731 hatp23b.00000024.out.fits	01:04:45.458        	
306.0439421 +16.6930544     56077.65     249.5003 hatp23b.00000025.out.fits	01:05:50.224        	
306.0439599 +16.6930526     56029.96     251.4492 hatp23b.00000026.out.fits	01:06:55.006        	
306.0439823 +16.6930639     53679.92     256.3796 hatp23b.00000027.out.fits	01:07:59.787        	
306.0439332 +16.6930340     53805.86     255.5017 hatp23b.00000028.out.fits	01:09:04.569        	
306.0439354 +16.6930337     51636.71     260.1749 hatp23b.00000029.out.fits	01:10:09.350        	
