306.0954369 +16.7998087     30282.98     333.4787 hatp23b.00000001.out.fits	00:39:55.572        	
306.0955112 +16.7998162     54200.75     267.7424 hatp23b.00000002.out.fits	00:41:00.354        	
306.0955142 +16.7998487     48074.86     282.8476 hatp23b.00000003.out.fits	00:42:05.136        	
306.0954753 +16.7998384     50176.17      276.735 hatp23b.00000004.out.fits	00:43:09.918        	
306.0954825 +16.7998365     57606.45     254.9911 hatp23b.00000005.out.fits	00:44:14.699        	
306.0955175 +16.7998469     56876.86     256.5448 hatp23b.00000006.out.fits	00:45:19.496        	
306.0955656 +16.7998513     56407.23     258.8384 hatp23b.00000007.out.fits	00:46:24.262        	
306.0955663 +16.7998632     58113.87     265.7985 hatp23b.00000008.out.fits	00:47:29.075        	
306.0955610 +16.7998577     58511.49     252.6342 hatp23b.00000009.out.fits	00:48:33.873        	
306.0955866 +16.7998386     57945.95     252.4175 hatp23b.00000010.out.fits	00:49:38.655        	
306.0955732 +16.7998511     57815.91     253.5275 hatp23b.00000011.out.fits	00:50:43.436        	
306.0955780 +16.7998392     58406.22     253.0624 hatp23b.00000012.out.fits	00:51:48.202        	
306.0955831 +16.7998530     58086.64     252.3061 hatp23b.00000013.out.fits	00:52:53.001        	
306.0955754 +16.7998362     58054.31     252.1671 hatp23b.00000014.out.fits	00:53:57.783        	
306.0955728 +16.7998484     58113.64     252.1913 hatp23b.00000015.out.fits	00:55:02.533        	
306.0955816 +16.7998449     57884.35     251.5292 hatp23b.00000016.out.fits	00:56:07.283        	
306.0955860 +16.7998505     57078.89     250.8279 hatp23b.00000017.out.fits	00:57:12.018        	
306.0955633 +16.7998557     57822.63      251.079 hatp23b.00000018.out.fits	00:58:16.768        	
306.0955568 +16.7998359     57319.32      251.417 hatp23b.00000019.out.fits	00:59:21.566        	
306.0955621 +16.7998419     58050.19     251.6834 hatp23b.00000020.out.fits	01:00:26.332        	
306.0955844 +16.7998492     58315.96     251.3533 hatp23b.00000021.out.fits	01:01:31.113        	
306.0955836 +16.7998379     59035.09     252.1874 hatp23b.00000022.out.fits	01:02:35.895        	
306.0955713 +16.7998335     58949.02     252.5322 hatp23b.00000023.out.fits	01:03:40.676        	
306.0955725 +16.7998468        58490     251.8613 hatp23b.00000024.out.fits	01:04:45.458        	
306.0955615 +16.7998575     58983.92     252.1517 hatp23b.00000025.out.fits	01:05:50.224        	
306.0955860 +16.7998467     57827.07     252.6875 hatp23b.00000026.out.fits	01:06:55.006        	
306.0956067 +16.7998446     54784.57     257.3642 hatp23b.00000027.out.fits	01:07:59.787        	
306.0955448 +16.7998252     55344.17     256.8418 hatp23b.00000028.out.fits	01:09:04.569        	
306.0955334 +16.7998293     53794.74     262.1804 hatp23b.00000029.out.fits	01:10:09.350        	
306.0955141 +16.7998221     54791.01     264.3835 hatp23b.00000030.out.fits	01:11:14.148        	
306.0955446 +16.7998238     58676.74     254.3046 hatp23b.00000031.out.fits	01:12:18.929        	
306.0955497 +16.7998231     50227.14     265.4266 hatp23b.00000032.out.fits	01:13:23.711        	
306.0955467 +16.7998059     53112.88     259.4764 hatp23b.00000033.out.fits	01:14:28.493        	
306.0955303 +16.7998370     50973.01     267.8083 hatp23b.00000034.out.fits	01:15:33.259        	
